LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.2868134 4.2868134 4.2868134) to (46.451167 46.451167 46.451167)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  6140 atoms
  reading velocities ...
  6140 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  9 = max angles/atom
  scanning dihedrals ...
  18 = max dihedrals/atom
  scanning impropers ...
  4 = max impropers/atom
  orthogonal box = (4.2868134 4.2868134 4.2868134) to (46.451167 46.451167 46.451167)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  6670 bonds
  reading angles ...
  10620 angles
  reading dihedrals ...
  15820 dihedrals
  reading impropers ...
  3420 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     3 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     9 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.193 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.30600463
  grid = 32 32 32
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00039730123
  estimated relative force accuracy = 1.1964608e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 59319 32768
Generated 21 of 21 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 28.17 | 28.17 | 28.17 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              490.92521      240.63388      26650.691      26387.622      8983.5352      17404.087      4048.2859      5014.2126      4702.1129      489.4442      -525.57789      11073.888     -7398.2787     -530.42333      74961.167      42.164354      42.164354      42.164354      1.1500246     -1902.5831      2523.4646      101.02019    
      1000   1000           497.37844      1122.5818      27909.879      26687.21       9101.624       17585.586      4267.9984      5028.1815      4616.1869      478.68946     -487.55002      11076.803     -7394.7232     -532.40736      74681.822      42.111913      42.111913      42.111913      1.1543262      1763.5391      2420.4285     -816.22209    
      2000   2000           494.65992     -633.35293      25820.946      26508.002      9051.8772      17456.125      4201.1698      5020.016       4646.0448      497.00289     -578.64357      11067.773     -7397.2381     -534.55012      74382.459      42.055569      42.055569      42.055569      1.1589719     -50.972877      359.2078      -2208.2937    
      3000   3000           490.80228     -533.52559      25750.561      26327.272      8981.2857      17345.986      4204.8365      4847.942       4736.8253      516.77564     -636.48612      11072.623     -7396.53       -536.45345      74118.551      42.005772      42.005772      42.005772      1.1630986     -1115.9322      542.14658     -1026.7911    
      4000   4000           503.43291     -728.69448      25750.6        26547.859      9212.416       17335.443      4121.7566      4951.7619      4682.8847      490.67567     -575.66724      11062.389     -7398.3575     -530.00587      75020.211      42.175421      42.175421      42.175421      1.1491194      288.34026     -1112.8585     -1361.5653    
      5000   5000           495.06316     -777.16556      25530.819      26380.117      9059.2563      17320.86       4142.4371      4990.7059      4562.1014      509.46203     -559.4987       11071.758     -7396.1054     -530.62614      74932.517      42.158981      42.158981      42.158981      1.1504643     -1898.3711      212.21958     -645.34518    
      6000   6000           500.81998     -651.05514      25967.097      26682.319      9164.6014      17517.718      4220.9261      5027.5971      4692.8265      502.98034     -590.29735      11059.535     -7395.8497     -527.85159      75326.385      42.232719      42.232719      42.232719      1.1444487      692.10451     -1514.4402     -1130.8298    
      7000   7000           494.07494     -560.80255      25746.598      26360.524      9041.1726      17319.351      4092.7125      5047.3925      4622.5076      483.60231     -580.84192      11056.271     -7402.2923     -529.69903      75063.668      42.183563      42.183563      42.183563      1.1484542      123.72336      575.56894     -2381.6999    
      8000   8000           490.34203      70.720878      26453.448      26375.985      8972.8634      17403.121      4073.8265      5025.1367      4697.1699      480.89599     -550.26122      11070.284     -7393.9306     -529.40428      75105.46       42.19139       42.19139       42.19139       1.1478151     -717.19082      109.78286      819.57059    
      9000   9000           498.29708     -501.22902      26065.021      26615.468      9118.4344      17497.033      4201.0792      4997.4754      4660.8216      515.40791     -539.59703      11061.218     -7399.3723     -528.02708      75301.35       42.22804       42.22804       42.22804       1.1448292      684.38135     -764.63991     -1423.4285    
