LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (51.522057 51.522057 51.522057)
  1 by 1 by 1 MPI processor grid
WARNING: Pair style lj/class2/coul/long/kk in data file differs from currently defined pair style lj/class2/coul/cut/kk (src/read_data.cpp:811)
  reading atoms ...
  8000 atoms
  reading velocities ...
  8000 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (0 0 0) to (51.522057 51.522057 51.522057)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7990 bonds
  reading angles ...
  14820 angles
  reading dihedrals ...
  17070 dihedrals
  reading impropers ...
  9120 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.206 seconds
Generated 10 of 10 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/cut/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.5
Per MPI rank memory allocation (min/avg/max) = 28.28 | 28.28 | 28.28 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
         0   0              600            1868.5639      16595.765      12868.73       14306.1       -1437.3698      2594.0534      5786.9033     -9595.9737     -60.469069     -2116.3709      1954.4871      136766.45      51.522057      51.522057      51.522057      0.60999999     2075.4133      1793.2271      1737.0514    
      1000   500            309.57932     -228.97384      6025.7222      6471.1545      7381.4544     -910.2999       2789.8663      6007.9748     -9585.4877     -63.722363     -2103.0565      2044.1256      133388.97      51.094401      51.094401      51.094401      0.62544552    -854.83544     -141.67731      309.59122    
      2000   1000           301.93755     -197.62499      5679.4832      6046.5822      7199.2479     -1152.6658      2701.3844      5855.9435     -9563.8851     -62.99383      -2248.9         2165.7852      127369.48      50.313955      50.313955      50.313955      0.65500414     136.63889      563.62167     -1293.1355    
      3000   1500           297.47348     -358.18271      5166.0671      5809.6477      7092.8088     -1283.1611      2616.5899      5830.9807     -9616.5518     -60.364224     -2358.2469      2304.4312      123203.32      49.759285      49.759285      49.759285      0.67715333    -374.04342     -640.66526     -59.839451    
      4000   2000           295.13166     -103.97453      5301.2065      5481.4948      7036.9715     -1555.4767      2631.9119      5661.1551     -9552.5805     -60.180608     -2414.1213      2178.3387      118895.33      49.172422      49.172422      49.172422      0.70168892     348.657       -1166.5328      505.95223    
      5000   2500           300.15124      310.37874      5957.248       5438.7811      7156.6559     -1717.8748      2588.0074      5701.5561     -9511.7354     -60.698542     -2444.2502      2009.2457      114538.95      48.564368      48.564368      48.564368      0.72837696     141.92044     -419.01495      1208.2307    
      6000   3000           298.10959      102.73514      5654.3117      5487.9281      7107.976      -1620.0479      2639.265       5695.9009     -9492.1895     -60.886113     -2415.0178      2012.8796      111049.25      48.066062      48.066062      48.066062      0.75126609    -508.15911     -132.29112      948.65566    
      7000   3500           304.26973      46.813619      6028.4959      5954.2261      7254.8553     -1300.6291      2588.0678      5841.6704     -9521.7642     -63.304752     -2520.8777      2375.5794      108783.66      47.736938      47.736938      47.736938      0.76691236    -84.728018      352.1865      -127.01763    
      8000   4000           299.11449      406.4677       6347.4079      5722.3813      7131.9361     -1409.5548      2628.1972      5838.5464     -9464.0799     -57.633397     -2483.1563      2128.5712      105437.85      47.242424      47.242424      47.242424      0.79124849     282.88009     -79.549456      1016.0725    
      9000   4500           297.06838      88.755571      5891.6523      5758.5032      7083.1497     -1324.6465      2498.418       5874.7633     -9485.4689     -59.149663     -2599.8926      2446.6835      102864.8       46.854963      46.854963      46.854963      0.81104065     1007.2393     -265.24038     -475.73222    
     10000   5000           300.4754       1099.1324      7298.1608      5695.5491      7164.3851     -1468.836       2531.4618      5671.9038     -9442.3762     -55.783096     -2612.5811      2438.5387      99977.532      46.412412      46.412412      46.412412      0.83446284     449.19672      1767.6146      1080.5859    
     11000   5500           300.33799      1110.9708      7346.1599      5769.3375      7161.1087     -1391.7712      2566.6661      5895.507      -9490.2097     -65.14286      -2619.6476      2321.0558      97320.481      45.997555      45.997555      45.997555      0.8572454      1108.0158      744.27492      1480.6218    
     12000   6000           302.14976      1668.4865      8335.8803      6012.2636      7204.3077     -1192.0441      2573.5783      5904.2008     -9470.1021     -61.6962       -2645.9764      2507.9515      95491.76       45.707623      45.707623      45.707623      0.87366214     1626.4621      1514.8918      1864.1056    
     13000   6500           299.39755      1112.9202      6938.7489      5431.5646      7138.6853     -1707.1206      2550.9159      5779.9812     -9432.0559     -62.843816     -2687.4728      2144.3548      92859.52       45.283725      45.283725      45.283725      0.89842738     1421.7422      682.90644      1234.112     
     14000   7000           299.35848      1302.6207      7346.0233      5626.7733      7137.7537     -1510.9805      2584.0917      5666.2543     -9386.4793     -61.351711     -2713.4418      2399.9463      90499.29       44.896766      44.896766      44.896766      0.92185845     1275.5042      1231.847       1400.5109    
     15000   7500           301.44841      785.43619      6579.6512      5568.2431      7187.585      -1619.3419      2529.3608      5837.9223     -9430.12       -56.82256      -2825.7588      2326.0764      88295.711      44.529368      44.529368      44.529368      0.9448651      1086.6935      1513.5763     -243.96126    
     16000   8000           301.73127      2251.5289      8363.7696      5542.3899      7194.3295     -1651.9396      2592.1635      5838.7458     -9356.4097     -63.111435     -2787.4944      2124.1666      85922.741      44.126828      44.126828      44.126828      0.9709599      3474.9661      1695.2433      1584.3774    
     17000   8500           300.04458      2616.6922      8544.8594      5346.3743      7154.1127     -1807.7384      2515.7009      5848.1658     -9371.0352     -59.541584     -2944.4232      2203.3949      83813.852      43.762817      43.762817      43.762817      0.99539077     2745.6368      1448.6143      3655.8254    
     18000   9000           302.27068      2254.9535      8278.3436      5555.1128      7207.1909     -1652.0781      2506.1454      5724.0169     -9367.0923     -61.870165     -2854.7803      2401.5024      82807.746      43.587001      43.587001      43.587001      1.0074847      3357.265       1609.7037      1797.8919    
     19000   9500           304.28535      1482.9496      7327.3592      5568.6934      7255.2276     -1686.5343      2502.8787      5913.3751     -9346.5651     -60.142784     -2965.4177      2269.3375      81316.942      43.323847      43.323847      43.323847      1.0259552      574.47591      2760.5567      1113.8163    
     20000   10000          304.74796      2039.2745      7949.8379      5568.2729      7266.2577     -1697.9848      2562.5025      5741.4253     -9291.6046     -64.518981     -2979.3007      2333.5117      80077.565      43.102615      43.102615      43.102615      1.0418341      3322.5327      1940.6078      854.68292    
     21000   10500          303.25081      1998.6043      7893.7375      5574.6428      7230.5606     -1655.9178      2535.3286      5893.1529     -9328.9665     -61.581076     -3013.9068      2320.0551      79563.847      43.010246      43.010246      43.010246      1.0485608      1059.9927      1801.3046      3134.5156    
     22000   11000          296.66494      2915.0963      8598.02        5226.8568      7073.5305     -1846.6737      2505.4194      5830.9511     -9368.9786     -60.449502     -3047.5625      2293.9463      79295.946      42.961918      42.961918      42.961918      1.0521034      3089.8994      2100.5849      3554.8046    
     23000   11500          301.86462      2915.9544      8724.5492      5369.5184      7197.5089     -1827.9905      2520.8595      5793.2799     -9307.3103     -60.438058     -3083.901       2309.5194      78893.259      42.88907       42.88907       42.88907       1.0574736      1761.2854      3387.048       3599.5299    
     24000   12000          302.49579      2499.4623      8021.3334      5151.2762      7212.5581     -2061.282       2559.817       5900.7349     -9349.3935     -64.203885     -3183.7374      2075.501       78735.042      42.86038       42.86038       42.86038       1.0595985      1524.049       2491.8879      3482.4502    
     25000   12500          302.56844      2775.7985      7984.4375      4834.0036      7214.2904     -2380.2868      2482.0736      5673.0735     -9272.8575     -60.529462     -3190.1164      1988.0695      77822.747      42.694197      42.694197      42.694197      1.0720199      2229.8517      2694.5377      3403.0061    
     26000   13000          302.08652      2884.3237      8438.8939      5152.4004      7202.7997     -2050.3993      2503.9033      5763.9392     -9341.654      -60.82263      -3194.6064      2278.8413      78129.111      42.750148      42.750148      42.750148      1.0678163      2699.971       2586.2565      3366.7437    
     27000   13500          300.17556      3283.7373      8743.7502      5012.7131      7157.2359     -2144.5229      2491.8941      5956.0394     -9357.1559     -61.261393     -3216.2322      2042.1932      77908.579      42.709887      42.709887      42.709887      1.0708389      3975.386       2062.1485      3813.6774    
     28000   14000          306.64056      1821.7263      7366.5342      5315.6724      7311.3841     -1995.7116      2537.1116      5809.2297     -9303.6021     -63.887878     -3271.6667      2297.1038      77192.902      42.578706      42.578706      42.578706      1.0807669      3385.6987      66.848607      2012.6317    
     29000   14500          303.19337      2666.4918      8012.9764      5019.7334      7229.191      -2209.4576      2536.63        5900.7065     -9388.8568     -63.656117     -3265.5528      2071.2717      76970.771      42.537825      42.537825      42.537825      1.0838859      2148.5917      3731.6413      2119.2424    
     30000   15000          304.57964      3203.1405      8597.7074      5017.7372      7262.2445     -2244.5073      2517.0714      5660.6028     -9355.9314     -58.369397     -3180.6691      2172.7884      76635.066      42.475892      42.475892      42.475892      1.088634       3837.7547      2659.5573      3112.1095    
     31000   15500          299.85924      2336.6403      7503.6455      4890.9208      7149.6936     -2258.7728      2523.4267      5858.1821     -9370.3154     -61.381345     -3245.5816      2036.8967      76670.074      42.482359      42.482359      42.482359      1.0881369      1027.7358      3674.5798      2307.6054    
     32000   16000          297.98966      2410.4836      7427.3934      4748.6163      7105.1164     -2356.5001      2541.8403      5883.6918     -9359.6641     -63.006504     -3351.4502      1992.0886      76200.268      42.395409      42.395409      42.395409      1.0948457      1270.1452      2211.4611      3749.8447    
     33000   16500          299.93841      3367.9011      8609.0787      4881.6148      7151.5814     -2269.9666      2435.5059      5847.0179     -9395.2368     -59.423948     -3318.3539      2220.5242      75888.894      42.337584      42.337584      42.337584      1.0993379      2292.5713      3372.6565      4438.4756    
     34000   17000          297.54162      2867.136       8193.5702      5002.8203      7094.4335     -2091.6132      2576.9597      5878.3286     -9409.8299     -63.546076     -3291.8258      2218.3003      76307.741      42.415331      42.415331      42.415331      1.0933037      2431.1959      3746.6398      2423.5723    
     35000   17500          300.96958      3191.301       8244.872       4734.3824      7176.168      -2441.7855      2563.0932      5802.7434     -9415.8596     -61.973054     -3338.4698      2008.6804      75426.511      42.251423      42.251423      42.251423      1.1060771      2791.6038      2682.0759      4100.2234    
     36000   18000          301.8643       3168.1966      8243.3629      4743.0711      7197.5014     -2454.4302      2526.6902      5879.5047     -9440.7986     -61.204315     -3370.1834      2011.5611      75755.861      42.312831      42.312831      42.312831      1.1012684      3076.8494      2451.5574      3976.1829    
     37000   18500          299.19125      3962.6461      9131.0277      4788.7336      7133.7665     -2345.0329      2551.5993      5965.0713     -9437.8844     -65.266708     -3325.4416      1966.8893      75137.728      42.197432      42.197432      42.197432      1.1103282      3489.1309      4079           4319.8075    
     38000   19000          304.82476      3927.0106      9352.6328      5054.4601      7268.0891     -2213.629       2533.3541      6035.2455     -9532.423      -64.5263       -3390.6754      2205.3961      75049.17       42.180847      42.180847      42.180847      1.1116383      3052.416       4124.486       4604.13      
     39000   19500          298.65503      3529.904       8713.1334      4859.0841      7120.9811     -2261.897       2585.9419      5951.2588     -9481.0875     -65.093927     -3357.5537      2104.6375      74864.94       42.146304      42.146304      42.146304      1.1143739      2907.4848      4128.2599      3553.9673    
     40000   20000          301.25608      2381.9343      7455.165       4850.2086      7182.9991     -2332.7905      2523.4281      5841.7731     -9407.4593     -60.741616     -3412.8577      2183.067       74988.521      42.169482      42.169482      42.169482      1.1125374      1514.731       1717.9185      3913.1532    
     41000   20500          300.45742      3132.0518      8232.3178      4815.5313      7163.9564     -2348.425       2541.0343      5764.6043     -9476.0638     -57.630376     -3329.804       2209.4346      74801.965      42.134483      42.134483      42.134483      1.1153121      4698.526       2302.8964      2394.7331    
     42000   21000          303.0631       2364.819       7574.5455      5004.5859      7226.085      -2221.4991      2479.4606      5845.5099     -9413.3471     -60.579398     -3483.9506      2411.4074      74516.509      42.080817      42.080817      42.080817      1.1195846      1530.4262      2430.8772      3133.1537    
     43000   21500          301.98829      3705.7493      8894.6141      4872.1355      7200.4577     -2328.3223      2576.3276      5829.2221     -9379.8801     -63.545254     -3427.8623      2137.4156      74428.938      42.064327      42.064327      42.064327      1.1209019      4452.0869      2884.5606      3780.6003    
     44000   22000          297.44462      4646.6983      9948.9002      4925.1093      7092.1206     -2167.0113      2464.6957      5799.5717     -9424.1406     -65.529823     -3349.7624      2408.1541      74132.934      42.008489      42.008489      42.008489      1.1253775      4748.3361      5111.1443      4080.6145    
     45000   22500          300.81777      4442.9737      9353.2945      4546.415       7172.5484     -2626.1334      2521.4428      5745.9389     -9424.0418     -62.962062     -3444.6574      2038.1462      74184.573      42.018241      42.018241      42.018241      1.1245941      4573.4001      3781.8363      4973.6845    
     46000   23000          298.276        3962.2007      9137.7444      4845.4277      7111.9438     -2266.5161      2586.0055      5835.7047     -9428.9032     -60.806976     -3423.3785      2224.8624      74281.285      42.036492      42.036492      42.036492      1.1231299      4288.0585      2565.4842      5033.0593    
     47000   23500          301.8506       4516.1151      9987.9851      5122.2619      7197.1746     -2074.9127      2578.8105      5769.0559     -9395.6233     -62.314062     -3314.8262      2349.9846      73876.533      41.960002      41.960002      41.960002      1.1292833      4312.3934      3929.6568      5306.2951    
     48000   24000          299.39938      5264.2585      10419.416      4784.6483      7138.729      -2354.0807      2501.6562      5872.8824     -9494.6516     -62.237879     -3444.1903      2272.4606      73394.406      41.868524      41.868524      41.868524      1.1367016      4312.0743      7039.9214      4440.7798    
     49000   24500          295.82885      4197.3605      8896.3486      4394.1374      7053.5951     -2659.4577      2489.4828      5787.3598     -9390.9043     -60.31031      -3389.4875      1904.4019      73548.482      41.897802      41.897802      41.897802      1.1343203      4840.9003      3302.6451      4448.5361    
     50000   25000          301.31255      4404.3155      9573.4467      4848.4438      7184.3456     -2335.9018      2509.0103      5788.3462     -9438.673      -61.287719     -3383.6696      2250.372       73561.025      41.900183      41.900183      41.900183      1.1341269      4419.5485      4237.9547      4555.4433    
     51000   25500          302.08082      5349.8953      10460.391      4734.6102      7202.6639     -2468.0537      2546.3656      5954.2381     -9516.0981     -63.739816     -3409.4599      2020.6404      73386.05       41.866935      41.866935      41.866935      1.136831       5485.8979      4132.1375      6431.6505    
     52000   26000          301.88098      5326.9634      10598.869      4912.229       7197.8991     -2285.6701      2573.4099      5917.2352     -9494.7702     -63.446114     -3430.9335      2212.8346      73198.159      41.831174      41.831174      41.831174      1.1397491      3658.1013      6193.1778      6129.6112    
     53000   26500          301.8605       5742.8988      10832.778      4693.605       7197.4108     -2503.8058      2523.6885      5801.2548     -9414.9298     -62.194048     -3416.9408      2065.3154      73299.803      41.850527      41.850527      41.850527      1.1381686      4950.0068      5943.3433      6335.3463    
     54000   27000          299.69373      3632.6142      8460.1037      4612.5658      7145.7474     -2533.1816      2587.9032      5858.501      -9468.27       -62.415793     -3481.2144      2032.3145      72625.268      41.721756      41.721756      41.721756      1.1487398      3456.8575      3895.9754      3545.0097    
     55000   27500          298.66719      4520.726       9375.9819      4563.0466      7121.271      -2558.2244      2516.9854      5837.9367     -9473.2117     -62.684852     -3472.4827      2095.2327      73000.52       41.793491      41.793491      41.793491      1.1428348      5212.2726      4111.2065      4238.6989    
     56000   28000          294.3606       5272.5568      10192.049      4593.616       7018.5869     -2424.9709      2529.6516      5784.2764     -9382.0134     -59.829209     -3493.5123      2196.456       72806.357      41.756405      41.756405      41.756405      1.1458826      5875.2991      4887.9591      5054.4121    
     57000   28500          301.20811      6112.1672      11251.187      4765.2826      7181.8555     -2416.5728      2577.9265      5744.507      -9435.9702     -61.178399     -3442.6924      2200.8347      72761.129      41.747757      41.747757      41.747757      1.1465948      5433.1158      6539.4775      6363.9083    
     58000   29000          300.38093      5098.3662      10152.163      4768.0247      7162.1325     -2394.1078      2603.2161      5806.4742     -9398.2788     -61.847606     -3454.1239      2110.4521      72411.789      41.680836      41.680836      41.680836      1.1521264      5361.1024      4500.2525      5433.7438    
     59000   29500          303.62027      5465.8306      10724.173      4952.2889      7239.3698     -2287.0808      2624.6452      5882.2632     -9513.8277     -61.261596     -3457.1453      2238.2454      72407.828      41.680077      41.680077      41.680077      1.1521894      5032.1386      6529.3373      4836.016     
     60000   30000          299.81813      6682.3409      11618.305      4592.3038      7148.7135     -2556.4097      2558.8549      5777.5832     -9475.1781     -64.32904      -3474.5393      2121.1986      72094.763      41.61992       41.61992       41.61992       1.1571927      6349.024       7711.0753      5986.9233    
     61000   30500          296.64335      5972.3294      10910.343      4613.1873      7073.0157     -2459.8284      2476.6446      5819.3622     -9416.9996     -62.775147     -3475.2336      2199.173       72297.75       41.658944      41.658944      41.658944      1.1539437      5268.6369      6354.5996      6293.7518    
     62000   31000          300.0159       6798.5889      12031.36       4896.1924      7153.4289     -2257.2366      2595.4286      5806.3921     -9401.4722     -64.62394      -3465.0997      2272.1386      71963.046      41.594558      41.594558      41.594558      1.1593108      7026.1389      6942.4508      6427.1769    
